CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),City,Age_Group,Annual_Income_Group,Spending_Score_Group,Category_Group,Age_Segment
28,Male,35,28,61.0,Los Angeles,"(25, 35]","(12, 33]","(51, 68]",Target,Young Adults
29,Female,40,29,31.0,Chicago,"(35, 45]","(12, 33]","(17, 34]",General,Middle-Aged Adults
30,Female,23,29,87.0,Houston,"(15, 25]","(12, 33]","(85, 102]",Centroid,Young Adults
31,Male,60,30,4.0,Phoenix,"(55, 65]","(12, 33]","(0, 17]",Miser,Senior Adults
32,Female,21,30,73.0,Philadelphia,"(15, 25]","(12, 33]","(68, 85]",Spendthrift,Young Adults
33,Male,53,33,4.0,San Antonio,"(45, 55]","(12, 33]","(0, 17]",Miser,Middle-Aged Adults
34,Male,18,33,92.0,San Diego,"(15, 25]","(12, 33]","(85, 102]",Centroid,Young Adults
35,Female,49,33,14.0,Washington,"(45, 55]","(12, 33]","(0, 17]",Miser,Middle-Aged Adults
36,Female,21,33,81.0,New York,"(15, 25]","(12, 33]","(68, 85]",Centroid,Young Adults
37,Female,42,34,17.0,Seattle,"(35, 45]","(33, 54]","(0, 17]",Miser,Middle-Aged Adults
38,Female,30,34,73.0,Los Angeles,"(25, 35]","(33, 54]","(68, 85]",Spendthrift,Young Adults
39,Female,36,37,26.0,Chicago,"(35, 45]","(33, 54]","(17, 34]",General,Young Adults
40,Female,20,37,75.0,Houston,"(15, 25]","(33, 54]","(68, 85]",Spendthrift,Young Adults
41,Female,65,38,35.0,Phoenix,"(55, 65]","(33, 54]","(34, 51]",Careful,Senior Adults
42,Male,24,38,92.0,Philadelphia,"(15, 25]","(33, 54]","(85, 102]",Centroid,Young Adults
43,Male,48,39,36.0,San Antonio,"(45, 55]","(33, 54]","(34, 51]",Careful,Middle-Aged Adults
44,Female,31,39,61.0,San Diego,"(25, 35]","(33, 54]","(51, 68]",Target,Young Adults
45,Female,49,39,28.0,New York,"(45, 55]","(33, 54]","(17, 34]",General,Middle-Aged Adults
46,Female,24,39,65.0,Seattle,"(15, 25]","(33, 54]","(51, 68]",Spendthrift,Young Adults
47,Female,50,40,55.0,Los Angeles,"(45, 55]","(33, 54]","(51, 68]",Target,Middle-Aged Adults
48,Female,27,40,47.0,Chicago,"(25, 35]","(33, 54]","(34, 51]",Careful,Young Adults
49,Female,29,40,42.0,Houston,"(25, 35]","(33, 54]","(34, 51]",Careful,Young Adults
50,Female,31,40,42.0,Phoenix,"(25, 35]","(33, 54]","(34, 51]",Careful,Young Adults
51,Female,49,42,52.0,Philadelphia,"(45, 55]","(33, 54]","(51, 68]",Target,Middle-Aged Adults
52,Male,33,42,60.0,San Antonio,"(25, 35]","(33, 54]","(51, 68]",Target,Young Adults
53,Female,31,43,54.0,San Diego,"(25, 35]","(33, 54]","(51, 68]",Target,Young Adults
54,Male,59,43,60.0,Washington,"(55, 65]","(33, 54]","(51, 68]",Target,Middle-Aged Adults
55,Female,50,43,45.0,Los Angeles,"(45, 55]","(33, 54]","(34, 51]",Careful,Middle-Aged Adults
56,Male,47,43,41.0,Chicago,"(45, 55]","(33, 54]","(34, 51]",Careful,Middle-Aged Adults
57,Female,51,44,50.0,Houston,"(45, 55]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
58,Male,69,44,46.0,Phoenix,"(65, 75]","(33, 54]","(34, 51]",Careful,Senior Adults
59,Female,27,46,51.0,Philadelphia,"(25, 35]","(33, 54]","(34, 51]",Target,Young Adults
60,Male,53,46,46.0,San Antonio,"(45, 55]","(33, 54]","(34, 51]",Careful,Middle-Aged Adults
61,Male,70,46,56.0,San Diego,"(65, 75]","(33, 54]","(51, 68]",Target,Senior Adults
62,Male,19,46,55.0,Washington,"(15, 25]","(33, 54]","(51, 68]",Target,Young Adults
63,Female,67,47,52.0,Los Angeles,"(65, 75]","(33, 54]","(51, 68]",Target,Senior Adults
64,Female,54,47,59.0,Chicago,"(45, 55]","(33, 54]","(51, 68]",Target,Middle-Aged Adults
65,Male,63,48,51.0,Houston,"(55, 65]","(33, 54]","(34, 51]",Target,Senior Adults
66,Male,18,48,59.0,Phoenix,"(15, 25]","(33, 54]","(51, 68]",Target,Young Adults
67,Female,43,48,50.0,Philadelphia,"(35, 45]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
68,Female,68,48,48.0,San Antonio,"(65, 75]","(33, 54]","(34, 51]",Careful,Senior Adults
69,Male,19,48,59.0,San Diego,"(15, 25]","(33, 54]","(51, 68]",Target,Young Adults
70,Female,32,48,47.0,Washington,"(25, 35]","(33, 54]","(34, 51]",Careful,Young Adults
71,Male,70,49,55.0,New York,"(65, 75]","(33, 54]","(51, 68]",Target,Senior Adults
72,Female,47,49,42.0,Seattle,"(45, 55]","(33, 54]","(34, 51]",Careful,Middle-Aged Adults
73,Female,60,50,49.0,Los Angeles,"(55, 65]","(33, 54]","(34, 51]",Careful,Senior Adults
74,Female,60,50,56.0,Chicago,"(55, 65]","(33, 54]","(51, 68]",Target,Senior Adults
75,Male,59,54,47.0,Houston,"(55, 65]","(33, 54]","(34, 51]",Careful,Middle-Aged Adults
76,Male,26,54,54.0,Phoenix,"(25, 35]","(33, 54]","(51, 68]",Target,Young Adults
77,Female,45,54,53.0,Philadelphia,"(35, 45]","(33, 54]","(51, 68]",Target,Middle-Aged Adults
78,Male,40,54,48.0,San Antonio,"(35, 45]","(33, 54]","(34, 51]",Careful,Middle-Aged Adults
79,Female,23,54,52.0,San Diego,"(15, 25]","(33, 54]","(51, 68]",Target,Young Adults
80,Female,49,54,42.0,New York,"(45, 55]","(33, 54]","(34, 51]",Careful,Middle-Aged Adults
81,Male,57,54,51.0,Seattle,"(55, 65]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
82,Male,38,54,55.0,Los Angeles,"(35, 45]","(33, 54]","(51, 68]",Target,Young Adults
83,Male,67,54,41.0,Chicago,"(65, 75]","(33, 54]","(34, 51]",Careful,Senior Adults
84,Female,46,54,44.0,Houston,"(45, 55]","(33, 54]","(34, 51]",Careful,Middle-Aged Adults
85,Female,21,54,57.0,Phoenix,"(15, 25]","(33, 54]","(51, 68]",Target,Young Adults
86,Male,48,54,46.0,Philadelphia,"(45, 55]","(33, 54]","(34, 51]",Careful,Middle-Aged Adults
87,Female,55,57,58.0,San Antonio,"(45, 55]","(54, 75]","(51, 68]",Target,Middle-Aged Adults
88,Female,22,57,55.0,San Diego,"(15, 25]","(54, 75]","(51, 68]",Target,Young Adults
89,Female,34,58,60.0,Washington,"(25, 35]","(54, 75]","(51, 68]",Target,Young Adults
90,Female,50,58,46.0,Los Angeles,"(45, 55]","(54, 75]","(34, 51]",Careful,Middle-Aged Adults
91,Female,68,59,55.0,Chicago,"(65, 75]","(54, 75]","(51, 68]",Target,Senior Adults
92,Male,18,59,41.0,Houston,"(15, 25]","(54, 75]","(34, 51]",Careful,Young Adults
93,Male,48,60,49.0,Phoenix,"(45, 55]","(54, 75]","(34, 51]",Careful,Middle-Aged Adults
94,Female,40,60,40.0,Philadelphia,"(35, 45]","(54, 75]","(34, 51]",Careful,Middle-Aged Adults
95,Female,32,60,42.0,San Antonio,"(25, 35]","(54, 75]","(34, 51]",Careful,Young Adults
96,Male,24,60,52.0,San Diego,"(15, 25]","(54, 75]","(51, 68]",Target,Young Adults
97,Female,47,60,47.0,Washington,"(45, 55]","(54, 75]","(34, 51]",Careful,Middle-Aged Adults
98,Female,27,60,50.0,Los Angeles,"(25, 35]","(54, 75]","(34, 51]",Target,Young Adults
99,Male,48,61,42.0,Chicago,"(45, 55]","(54, 75]","(34, 51]",Careful,Middle-Aged Adults
100,Male,20,61,49.0,Houston,"(15, 25]","(54, 75]","(34, 51]",Careful,Young Adults
101,Female,23,62,41.0,Phoenix,"(15, 25]","(54, 75]","(34, 51]",Careful,Young Adults
102,Female,49,62,48.0,Philadelphia,"(45, 55]","(54, 75]","(34, 51]",Careful,Middle-Aged Adults
103,Male,67,62,59.0,San Antonio,"(65, 75]","(54, 75]","(51, 68]",Target,Senior Adults
104,Male,26,62,55.0,San Diego,"(25, 35]","(54, 75]","(51, 68]",Target,Young Adults
105,Male,49,62,56.0,Washington,"(45, 55]","(54, 75]","(51, 68]",Target,Middle-Aged Adults
106,Female,21,62,42.0,New York,"(15, 25]","(54, 75]","(34, 51]",Careful,Young Adults
107,Female,66,63,50.0,Seattle,"(65, 75]","(54, 75]","(34, 51]",Target,Senior Adults
108,Male,54,63,46.0,Los Angeles,"(45, 55]","(54, 75]","(34, 51]",Careful,Middle-Aged Adults
109,Male,68,63,43.0,Chicago,"(65, 75]","(54, 75]","(34, 51]",Careful,Senior Adults
110,Male,66,63,48.0,Houston,"(65, 75]","(54, 75]","(34, 51]",Careful,Senior Adults
111,Male,65,63,52.0,Phoenix,"(55, 65]","(54, 75]","(51, 68]",Target,Senior Adults
112,Female,19,63,54.0,Philadelphia,"(15, 25]","(54, 75]","(51, 68]",Target,Young Adults
113,Female,38,64,42.0,San Antonio,"(35, 45]","(54, 75]","(34, 51]",Careful,Young Adults
114,Male,19,64,46.0,San Diego,"(15, 25]","(54, 75]","(34, 51]",Careful,Young Adults
115,Female,18,65,48.0,New York,"(15, 25]","(54, 75]","(34, 51]",Careful,Young Adults
116,Female,19,65,50.0,Seattle,"(15, 25]","(54, 75]","(34, 51]",Target,Young Adults
117,Female,63,65,43.0,Los Angeles,"(55, 65]","(54, 75]","(34, 51]",Careful,Senior Adults
118,Female,49,65,59.0,Chicago,"(45, 55]","(54, 75]","(51, 68]",Target,Middle-Aged Adults
119,Female,51,67,43.0,Houston,"(45, 55]","(54, 75]","(34, 51]",Careful,Middle-Aged Adults
120,Female,50,67,57.0,Phoenix,"(45, 55]","(54, 75]","(51, 68]",Target,Middle-Aged Adults
121,Male,27,67,56.0,Philadelphia,"(25, 35]","(54, 75]","(51, 68]",Target,Young Adults
122,Female,38,67,40.0,San Antonio,"(35, 45]","(54, 75]","(34, 51]",Careful,Young Adults
123,Female,40,69,58.0,San Diego,"(35, 45]","(54, 75]","(51, 68]",Target,Middle-Aged Adults
124,Male,39,69,91.0,Washington,"(35, 45]","(54, 75]","(85, 102]",Centroid,Young Adults
125,Female,23,70,29.0,Los Angeles,"(15, 25]","(54, 75]","(17, 34]",General,Young Adults
126,Female,31,70,77.0,Chicago,"(25, 35]","(54, 75]","(68, 85]",Spendthrift,Young Adults
127,Male,43,71,35.0,Houston,"(35, 45]","(54, 75]","(34, 51]",Careful,Middle-Aged Adults
128,Male,40,71,95.0,Phoenix,"(35, 45]","(54, 75]","(85, 102]",Centroid,Middle-Aged Adults
129,Male,59,71,11.0,Philadelphia,"(55, 65]","(54, 75]","(0, 17]",Miser,Middle-Aged Adults
130,Male,38,71,75.0,San Antonio,"(35, 45]","(54, 75]","(68, 85]",Spendthrift,Young Adults
131,Male,47,71,9.0,San Diego,"(45, 55]","(54, 75]","(0, 17]",Miser,Middle-Aged Adults
132,Male,39,71,75.0,Washington,"(35, 45]","(54, 75]","(68, 85]",Spendthrift,Young Adults
133,Female,25,72,34.0,Los Angeles,"(15, 25]","(54, 75]","(17, 34]",General,Young Adults
134,Female,31,72,71.0,Chicago,"(25, 35]","(54, 75]","(68, 85]",Spendthrift,Young Adults
135,Male,20,73,5.0,Houston,"(15, 25]","(54, 75]","(0, 17]",Miser,Young Adults
136,Female,29,73,88.0,Phoenix,"(25, 35]","(54, 75]","(85, 102]",Centroid,Young Adults
137,Female,44,73,7.0,Philadelphia,"(35, 45]","(54, 75]","(0, 17]",Miser,Middle-Aged Adults
138,Male,32,73,73.0,San Antonio,"(25, 35]","(54, 75]","(68, 85]",Spendthrift,Young Adults
139,Male,19,74,10.0,San Diego,"(15, 25]","(54, 75]","(0, 17]",Miser,Young Adults
140,Female,35,74,72.0,Washington,"(25, 35]","(54, 75]","(68, 85]",Spendthrift,Young Adults
141,Female,57,75,5.0,New York,"(55, 65]","(54, 75]","(0, 17]",Miser,Middle-Aged Adults
142,Male,32,75,93.0,Seattle,"(25, 35]","(54, 75]","(85, 102]",Centroid,Young Adults
143,Female,28,76,40.0,Los Angeles,"(25, 35]","(75, 96]","(34, 51]",Careful,Young Adults
144,Female,32,76,87.0,Chicago,"(25, 35]","(75, 96]","(85, 102]",Centroid,Young Adults
145,Male,25,77,12.0,Houston,"(15, 25]","(75, 96]","(0, 17]",Miser,Young Adults
146,Male,28,77,97.0,Phoenix,"(25, 35]","(75, 96]","(85, 102]",Centroid,Young Adults
147,Male,48,77,36.0,Philadelphia,"(45, 55]","(75, 96]","(34, 51]",Careful,Middle-Aged Adults
148,Female,32,77,74.0,San Antonio,"(25, 35]","(75, 96]","(68, 85]",Spendthrift,Young Adults
149,Female,34,78,22.0,San Diego,"(25, 35]","(75, 96]","(17, 34]",General,Young Adults
150,Male,34,78,90.0,New York,"(25, 35]","(75, 96]","(85, 102]",Centroid,Young Adults
151,Male,43,78,17.0,Seattle,"(35, 45]","(75, 96]","(0, 17]",Miser,Middle-Aged Adults
152,Male,39,78,88.0,Los Angeles,"(35, 45]","(75, 96]","(85, 102]",Centroid,Young Adults
153,Female,44,78,20.0,Chicago,"(35, 45]","(75, 96]","(17, 34]",General,Middle-Aged Adults
154,Female,38,78,76.0,Houston,"(35, 45]","(75, 96]","(68, 85]",Spendthrift,Young Adults
155,Female,47,78,16.0,Phoenix,"(45, 55]","(75, 96]","(0, 17]",Miser,Middle-Aged Adults
156,Female,27,78,89.0,Philadelphia,"(25, 35]","(75, 96]","(85, 102]",Centroid,Young Adults
157,Male,37,78,1.0,San Antonio,"(35, 45]","(75, 96]","(0, 17]",Miser,Young Adults
158,Female,30,78,78.0,San Diego,"(25, 35]","(75, 96]","(68, 85]",Spendthrift,Young Adults
159,Male,34,78,1.0,Washington,"(25, 35]","(75, 96]","(0, 17]",Miser,Young Adults
160,Female,30,78,73.0,Los Angeles,"(25, 35]","(75, 96]","(68, 85]",Spendthrift,Young Adults
161,Female,56,79,35.0,Chicago,"(55, 65]","(75, 96]","(34, 51]",Careful,Middle-Aged Adults
162,Female,29,79,83.0,Houston,"(25, 35]","(75, 96]","(68, 85]",Centroid,Young Adults
163,Male,19,81,5.0,Phoenix,"(15, 25]","(75, 96]","(0, 17]",Miser,Young Adults
164,Female,31,81,93.0,Philadelphia,"(25, 35]","(75, 96]","(85, 102]",Centroid,Young Adults
165,Male,50,85,26.0,San Antonio,"(45, 55]","(75, 96]","(17, 34]",General,Middle-Aged Adults
166,Female,36,85,75.0,San Diego,"(35, 45]","(75, 96]","(68, 85]",Spendthrift,Young Adults
167,Male,42,86,20.0,Washington,"(35, 45]","(75, 96]","(17, 34]",General,Middle-Aged Adults
168,Female,33,86,95.0,Los Angeles,"(25, 35]","(75, 96]","(85, 102]",Centroid,Young Adults
169,Female,36,87,27.0,Chicago,"(35, 45]","(75, 96]","(17, 34]",General,Young Adults
170,Male,32,87,63.0,Houston,"(25, 35]","(75, 96]","(51, 68]",Target,Young Adults
171,Male,40,87,13.0,Phoenix,"(35, 45]","(75, 96]","(0, 17]",Miser,Middle-Aged Adults
172,Male,28,87,75.0,Philadelphia,"(25, 35]","(75, 96]","(68, 85]",Spendthrift,Young Adults
173,Male,36,87,10.0,San Antonio,"(35, 45]","(75, 96]","(0, 17]",Miser,Young Adults
174,Male,36,87,92.0,San Diego,"(35, 45]","(75, 96]","(85, 102]",Centroid,Young Adults
175,Female,52,88,13.0,Washington,"(45, 55]","(75, 96]","(0, 17]",Miser,Middle-Aged Adults
176,Female,30,88,86.0,New York,"(25, 35]","(75, 96]","(85, 102]",Centroid,Young Adults
177,Male,58,88,15.0,Seattle,"(55, 65]","(75, 96]","(0, 17]",Miser,Middle-Aged Adults
178,Male,27,88,69.0,Los Angeles,"(25, 35]","(75, 96]","(68, 85]",Spendthrift,Young Adults
179,Male,59,93,14.0,Chicago,"(55, 65]","(75, 96]","(0, 17]",Miser,Middle-Aged Adults
180,Male,35,93,90.0,Houston,"(25, 35]","(75, 96]","(85, 102]",Centroid,Young Adults
181,Female,37,97,32.0,Phoenix,"(35, 45]","(96, 117]","(17, 34]",General,Young Adults
182,Female,32,97,86.0,Philadelphia,"(25, 35]","(96, 117]","(85, 102]",Centroid,Young Adults
183,Male,46,98,15.0,San Antonio,"(45, 55]","(96, 117]","(0, 17]",Miser,Middle-Aged Adults
184,Female,29,98,88.0,San Diego,"(25, 35]","(96, 117]","(85, 102]",Centroid,Young Adults
185,Female,41,99,39.0,New York,"(35, 45]","(96, 117]","(34, 51]",Careful,Middle-Aged Adults
186,Male,30,99,97.0,Seattle,"(25, 35]","(96, 117]","(85, 102]",Centroid,Young Adults
187,Female,54,101,24.0,Los Angeles,"(45, 55]","(96, 117]","(17, 34]",General,Middle-Aged Adults
188,Male,28,101,68.0,Chicago,"(25, 35]","(96, 117]","(51, 68]",Spendthrift,Young Adults
189,Female,41,103,17.0,Houston,"(35, 45]","(96, 117]","(0, 17]",Miser,Middle-Aged Adults
190,Female,36,103,85.0,Phoenix,"(35, 45]","(96, 117]","(68, 85]",Centroid,Young Adults
191,Female,34,103,23.0,Philadelphia,"(25, 35]","(96, 117]","(17, 34]",General,Young Adults
192,Female,32,103,69.0,San Antonio,"(25, 35]","(96, 117]","(68, 85]",Spendthrift,Young Adults
193,Male,33,113,8.0,San Diego,"(25, 35]","(96, 117]","(0, 17]",Miser,Young Adults
194,Female,38,113,91.0,Washington,"(35, 45]","(96, 117]","(85, 102]",Centroid,Young Adults
195,Female,47,120,16.0,Los Angeles,"(45, 55]","(117, 138]","(0, 17]",Miser,Middle-Aged Adults
196,Female,35,120,79.0,Chicago,"(25, 35]","(117, 138]","(68, 85]",Spendthrift,Young Adults
197,Female,45,126,28.0,Houston,"(35, 45]","(117, 138]","(17, 34]",General,Middle-Aged Adults
198,Male,32,126,74.0,Phoenix,"(25, 35]","(117, 138]","(68, 85]",Spendthrift,Young Adults
199,Male,32,137,18.0,Philadelphia,"(25, 35]","(117, 138]","(17, 34]",Miser,Young Adults
200,Male,30,137,83.0,San Antonio,"(25, 35]","(117, 138]","(68, 85]",Centroid,Young Adults
201,Male,20,15,50.0,San Diego,"(15, 25]","(12, 33]","(34, 51]",Target,Young Adults
202,Male,21,15,50.0,Washington,"(15, 25]","(12, 33]","(34, 51]",Target,Young Adults
203,Female,22,16,50.0,Los Angeles,"(15, 25]","(12, 33]","(34, 51]",Target,Young Adults
204,Female,23,16,50.0,Chicago,"(15, 25]","(12, 33]","(34, 51]",Target,Young Adults
205,Female,24,17,50.0,Houston,"(15, 25]","(12, 33]","(34, 51]",Target,Young Adults
206,Female,25,17,50.0,Phoenix,"(15, 25]","(12, 33]","(34, 51]",Target,Young Adults
207,Female,26,18,50.0,Philadelphia,"(25, 35]","(12, 33]","(34, 51]",Target,Young Adults
208,Female,27,18,50.0,San Antonio,"(25, 35]","(12, 33]","(34, 51]",Target,Young Adults
209,Male,28,19,50.0,San Diego,"(25, 35]","(12, 33]","(34, 51]",Target,Young Adults
210,Female,29,19,50.0,Washington,"(25, 35]","(12, 33]","(34, 51]",Target,Young Adults
211,Male,30,19,50.0,New York,"(25, 35]","(12, 33]","(34, 51]",Target,Young Adults
212,Female,31,19,50.0,Seattle,"(25, 35]","(12, 33]","(34, 51]",Target,Young Adults
213,Female,32,20,50.0,Los Angeles,"(25, 35]","(12, 33]","(34, 51]",Target,Young Adults
214,Female,33,20,50.0,Chicago,"(25, 35]","(12, 33]","(34, 51]",Target,Young Adults
215,Male,34,20,50.0,Houston,"(25, 35]","(12, 33]","(34, 51]",Target,Young Adults
216,Male,35,20,50.0,Phoenix,"(25, 35]","(12, 33]","(34, 51]",Target,Young Adults
217,Female,36,21,50.0,Philadelphia,"(35, 45]","(12, 33]","(34, 51]",Target,Young Adults
218,Male,37,21,50.0,San Antonio,"(35, 45]","(12, 33]","(34, 51]",Target,Young Adults
219,Male,38,23,50.0,San Diego,"(35, 45]","(12, 33]","(34, 51]",Target,Young Adults
220,Female,39,23,50.0,New York,"(35, 45]","(12, 33]","(34, 51]",Target,Young Adults
221,Male,40,24,50.0,Seattle,"(35, 45]","(12, 33]","(34, 51]",Target,Middle-Aged Adults
222,Male,41,24,50.0,Los Angeles,"(35, 45]","(12, 33]","(34, 51]",Target,Middle-Aged Adults
223,Female,42,25,50.0,Chicago,"(35, 45]","(12, 33]","(34, 51]",Target,Middle-Aged Adults
224,Male,43,25,50.0,Houston,"(35, 45]","(12, 33]","(34, 51]",Target,Middle-Aged Adults
225,Female,44,28,50.0,Phoenix,"(35, 45]","(12, 33]","(34, 51]",Target,Middle-Aged Adults
226,Male,45,28,50.0,Philadelphia,"(35, 45]","(12, 33]","(34, 51]",Target,Middle-Aged Adults
227,Female,46,28,50.0,San Antonio,"(45, 55]","(12, 33]","(34, 51]",Target,Middle-Aged Adults
228,Male,47,28,50.0,San Diego,"(45, 55]","(12, 33]","(34, 51]",Target,Middle-Aged Adults
229,Female,48,29,50.0,Washington,"(45, 55]","(12, 33]","(34, 51]",Target,Middle-Aged Adults
230,Female,49,29,50.0,Los Angeles,"(45, 55]","(12, 33]","(34, 51]",Target,Middle-Aged Adults
231,Male,50,30,50.0,Chicago,"(45, 55]","(12, 33]","(34, 51]",Target,Middle-Aged Adults
232,Female,20,30,50.0,Houston,"(15, 25]","(12, 33]","(34, 51]",Target,Young Adults
233,Male,21,33,50.0,Phoenix,"(15, 25]","(12, 33]","(34, 51]",Target,Young Adults
234,Male,22,33,50.0,Philadelphia,"(15, 25]","(12, 33]","(34, 51]",Target,Young Adults
235,Female,23,33,50.0,San Antonio,"(15, 25]","(12, 33]","(34, 51]",Target,Young Adults
236,Female,24,33,50.0,San Diego,"(15, 25]","(12, 33]","(34, 51]",Target,Young Adults
237,Female,25,34,50.0,Washington,"(15, 25]","(33, 54]","(34, 51]",Target,Young Adults
238,Female,26,34,50.0,Los Angeles,"(25, 35]","(33, 54]","(34, 51]",Target,Young Adults
239,Female,27,37,50.0,Chicago,"(25, 35]","(33, 54]","(34, 51]",Target,Young Adults
240,Female,28,37,50.0,Houston,"(25, 35]","(33, 54]","(34, 51]",Target,Young Adults
241,Female,29,38,50.0,Phoenix,"(25, 35]","(33, 54]","(34, 51]",Target,Young Adults
242,Male,30,38,50.0,Philadelphia,"(25, 35]","(33, 54]","(34, 51]",Target,Young Adults
243,Male,31,39,50.0,San Antonio,"(25, 35]","(33, 54]","(34, 51]",Target,Young Adults
244,Female,32,39,50.0,San Diego,"(25, 35]","(33, 54]","(34, 51]",Target,Young Adults
245,Female,33,39,50.0,Washington,"(25, 35]","(33, 54]","(34, 51]",Target,Young Adults
246,Female,34,39,50.0,New York,"(25, 35]","(33, 54]","(34, 51]",Target,Young Adults
247,Female,35,40,50.0,Seattle,"(25, 35]","(33, 54]","(34, 51]",Target,Young Adults
248,Female,36,40,50.0,Los Angeles,"(35, 45]","(33, 54]","(34, 51]",Target,Young Adults
249,Female,37,40,50.0,Chicago,"(35, 45]","(33, 54]","(34, 51]",Target,Young Adults
250,Female,38,40,50.0,Houston,"(35, 45]","(33, 54]","(34, 51]",Target,Young Adults
251,Female,39,42,50.0,Phoenix,"(35, 45]","(33, 54]","(34, 51]",Target,Young Adults
252,Male,40,42,50.0,Philadelphia,"(35, 45]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
253,Female,41,43,50.0,San Antonio,"(35, 45]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
254,Male,42,43,50.0,San Diego,"(35, 45]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
255,Female,43,43,50.0,New York,"(35, 45]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
256,Male,44,43,50.0,Seattle,"(35, 45]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
257,Female,45,44,50.0,Los Angeles,"(35, 45]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
258,Male,46,44,50.0,Chicago,"(45, 55]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
259,Female,47,46,50.0,Houston,"(45, 55]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
260,Male,48,46,50.0,Phoenix,"(45, 55]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
261,Male,49,46,50.0,Philadelphia,"(45, 55]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
262,Male,50,46,50.0,San Antonio,"(45, 55]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
263,Female,51,47,50.0,San Diego,"(45, 55]","(33, 54]","(34, 51]",Target,Middle-Aged Adults
264,Female,20,47,50.0,Washington,"(15, 25]","(33, 54]","(34, 51]",Target,Young Adults
265,Male,21,48,50.0,Los Angeles,"(15, 25]","(33, 54]","(34, 51]",Target,Young Adults
266,Male,22,48,50.0,Chicago,"(15, 25]","(33, 54]","(34, 51]",Target,Young Adults
